Post_id,forum_id,forum_name,post_content
40,1,challenges_NetsBlox,count 
41,2,other_features_NetsBlox,None
42,2,other_features_NetsBlox,no
43,2,other_features_NetsBlox,No
44,2,other_features_NetsBlox,no
45,2,other_features_NetsBlox,no
46,2,other_features_NetsBlox,A guide
47,2,other_features_NetsBlox,
48,2,other_features_NetsBlox,Better mobile support
49,2,other_features_NetsBlox,(Above) ability top move a certain distance
50,2,other_features_NetsBlox,
51,2,other_features_NetsBlox,"an ""other than"" statement"
52,2,other_features_NetsBlox,I was satisfied with the features of NetsBlox that we used.
53,2,other_features_NetsBlox,A more reliable app on the phone.
54,2,other_features_NetsBlox,There is no feature that I can think of that should be added.
55,2,other_features_NetsBlox,"While block programming is helpful to beginners, it would be useful to be able to switch to text based programming to strengthen coding speed and knowledge for a continuous user."
56,2,other_features_NetsBlox,No lag
57,2,other_features_NetsBlox,Explanation keys of what each tab means.
58,2,other_features_NetsBlox,I would like if there was a search bar to search for blocks
59,2,other_features_NetsBlox,No
60,2,other_features_NetsBlox,a category that holds the most commonly used blocks
61,2,other_features_NetsBlox,"autosave, and list operators"
62,2,other_features_NetsBlox,nothing in particular
63,2,other_features_NetsBlox,a search bar for the Blocks 
64,2,other_features_NetsBlox,Not anything I can think of at the moment.
65,2,other_features_NetsBlox,an easier way to work and collaborate
66,2,other_features_NetsBlox,No
67,2,other_features_NetsBlox,being able to type code
68,2,other_features_NetsBlox,N
69,2,other_features_NetsBlox,The program runs great the way it is 
70,2,other_features_NetsBlox,
71,2,other_features_NetsBlox,-
72,2,other_features_NetsBlox,n/a
73,2,other_features_NetsBlox,Better collaboration settings 
74,2,other_features_NetsBlox,Animation
75,2,other_features_NetsBlox,"I enjoyed playing around with the sounds, costumes, and backgrounds, but it would be fun to see more sounds and background. Also, I think there could have been tutorial courses so someone that did not participate in the Cybersecurity camp could access and use NetsBlox as well."
76,2,other_features_NetsBlox,I would like to be able to use the normal commands with the robots
77,2,other_features_NetsBlox,"Some of the names on the blocks were confusing, but I don't believe there was much I would like to see changed. The font was really tiny, though, and very hard to see. "
78,2,other_features_NetsBlox,"Yes, for users with little to zero experience of computer programming, a manual should be included to describe the purpose of each block and a few examples on how they are used. "
79,3,concepts_difficult_understand_why,"Probably brute force decryption; I either didn’t spend enough time on this, made it too complicated or both"
80,3,concepts_difficult_understand_why,the use for certain blocks
81,3,concepts_difficult_understand_why,The most difficult to understand was the encryption breaking. It seemed complex to me.
82,3,concepts_difficult_understand_why,the encryption
83,3,concepts_difficult_understand_why,none were difficult
84,3,concepts_difficult_understand_why,Encrypting and certain blocks functions
85,3,concepts_difficult_understand_why,
86,3,concepts_difficult_understand_why,"the robot encryption, i got lost easily"
87,3,concepts_difficult_understand_why,The tick counters were probably the most difficult because they required proficiency in several other block concepts coupled with knowing how to put them together.
88,3,concepts_difficult_understand_why,"The hardest parts to understand were the distributed system aspects, because I had trouble grasping exactly how the messages were sent and received by the robot, and how to use that information."
89,3,concepts_difficult_understand_why,"I didn't have any trouble with concepts, only sometimes with execution, but even then, Ben (Instructor) knew what to do and showed me how to do what I wanted on NetsBlox"
90,3,concepts_difficult_understand_why,"The encryption/decryption programs were the hardest for me to understand because every detail had to be perfect, and I would often forget a piece."
91,3,concepts_difficult_understand_why,It all seemed easy and fluid.
92,3,concepts_difficult_understand_why,"The hardest concept was receiving messages and then doing different things with those messages. I was hard due to me not completely understanding it, and from me making some little mistakes here and there while coding."
93,3,concepts_difficult_understand_why,"Learning to try to hack others' programs is difficult because there is limited explanation on it. The main focus is on protecting the robot instead of attacking others, so those who are already comfortable with programming have an upper hand."
94,3,concepts_difficult_understand_why,Cleaning up the code because I don't like cleaning up.
95,3,concepts_difficult_understand_why,Custom keys
96,3,concepts_difficult_understand_why,"I did not understand how to communicate in chat rooms or why certain things, such as ticks, were important."
97,3,concepts_difficult_understand_why,"decryption, I don't really follow how it works , especially with the binary code"
98,3,concepts_difficult_understand_why,The coding for Hacking other people didn't make much sense to me
99,3,concepts_difficult_understand_why,list operations
100,3,concepts_difficult_understand_why,Encrypting and Decryption
101,3,concepts_difficult_understand_why,"encryption and decryption, probably because there were lots of words and I am a visual learner"
102,3,concepts_difficult_understand_why,"For some reason, I found the things with automated driving and basic encryption hardest. I'm not particulary sure why. I understand them if they're explained to me in person, but they were confusing at first. "
103,3,concepts_difficult_understand_why,Knowing what blocks to use to reach our goal. 
104,3,concepts_difficult_understand_why,The concepts most difficult to learn was hacking another person's program.
105,3,concepts_difficult_understand_why,decryption
106,3,concepts_difficult_understand_why,I was a bit unclear with the types of defenses that we could implement. 
107,3,concepts_difficult_understand_why,How different blocks would join together and what that meant for specific scripts. 
108,3,concepts_difficult_understand_why,almost everythinh 
109,3,concepts_difficult_understand_why,I had a very hard time dealing with very simple mistakes that had little to do with my actual code
110,3,concepts_difficult_understand_why,"encryption and decryption because although I understood what it did, the binary took a really long time before it actually began working. however a lot of it I found really difficult"
111,3,concepts_difficult_understand_why,I had trouble with decryption because I didn't understand which blocks to use and where to put them.
112,3,concepts_difficult_understand_why,"The coding itself and the use of new and unexplained blocks that were not understandable by common sense or assumptions. The proctors were not very helpful in explaining these blocks, some of which they did not mention or teach us how to use. These blocks were only shared when the class's two foremost groups shared their correct and sophisticated codes -- these groups had the personal attention of two of the proctors where the other groups were left behind."
113,3,concepts_difficult_understand_why,"Decryption, for me, was probably one of the hardest concepts to understand. There is a lot of steps involved in stealing somebody else's key and then utilizing it. Additionally, there were a lot of different types of decryption, and I didn't really understand which was the best to use. "
114,3,concepts_difficult_understand_why,The messaging part and I Don't know
115,3,concepts_difficult_understand_why,"I found figuring out how to set up the code in a way that our code would work to be the most confusing thing, and I got confused on what actually we were trying to achieve at certain points. "
116,3,concepts_difficult_understand_why,I think the concepts of encryption and decryption were the most difficult to understand. 
117,3,concepts_difficult_understand_why,"The most difficult to understand concept was the encryption aspect, especially the modifies caesar cypher."
118,3,concepts_difficult_understand_why,count 
119,3,tried_ but_couldnot_what_Why,My decryption program for hacking into the square driving program. I made it too complex and messed up the variables
120,3,tried_ but_couldnot_what_Why,encryptions and trying to get the robot to beep
121,3,tried_ but_couldnot_what_Why,I tried some more complex encryption and it didn't work at first. I was just not coding it right.
122,3,tried_ but_couldnot_what_Why,the code was broken
123,3,tried_ but_couldnot_what_Why,if it did not work it was because the robot was unresponsive
124,3,tried_ but_couldnot_what_Why,trying to make it do. perfect circle was very difficult 
125,3,tried_ but_couldnot_what_Why,
126,3,tried_ but_couldnot_what_Why,Everything we have tried to implement has worked so far
127,3,tried_ but_couldnot_what_Why,"I tried to run the turn feature of the automated square program using ticks instead of time initially. I had to switch to a time based motion because when I used ticks, the degree of the turn varied drastically for each of the four motion. I think it did not work as well because the tick motion was more susceptible and vulnerable to the effect wheel slippage had on the process."
128,3,tried_ but_couldnot_what_Why,"I think that some of my programs did not work due to small oversights in code, or a lack of full understanding about some of the concepts, which caused me to use things in an inefficient way."
129,3,tried_ but_couldnot_what_Why,"I think just mostly finding the blocks was the main challenge, a search bar for the command names and their descriptions would be very helpful."
130,3,tried_ but_couldnot_what_Why,"We tried to create a program that would switch the numeric value of the encryption key every 10 milliseconds, but we soon realized that the key was changing too quickly and the robot couldn't keep up."
131,3,tried_ but_couldnot_what_Why,Seemed fine in terms of what Netblox was able to accomplish.
132,3,tried_ but_couldnot_what_Why,"I tried to make a ""testing"" key to figure out the enhanced Caesar (I think it was called figure) key. At times the code would stop running before it was done."
133,3,tried_ but_couldnot_what_Why,"Placing beeps into a sequence is difficult because some beeps are skipped. The beeps could be playing in a faster sequence than visible in the program, but sometimes, it worked better than others."
134,3,tried_ but_couldnot_what_Why,The hacking program didn't work and I think it was because the encryption was too hard to break for us.
135,3,tried_ but_couldnot_what_Why,
136,3,tried_ but_couldnot_what_Why,"I tried to break a 4-digit Ceasar shift, which did not work at first because I put some blocks into the wrong loop."
137,3,tried_ but_couldnot_what_Why,I don't have a memorable experience of that 
138,3,tried_ but_couldnot_what_Why,We couldn't get our robot to follow the ticks and go around the square. I think it didn't work because we didnt measure our ticks correctly and didn't understand what to do
139,3,tried_ but_couldnot_what_Why,I was able to do all exercises
140,3,tried_ but_couldnot_what_Why,Everything we tried to do we eventually were able to accomplish
141,3,tried_ but_couldnot_what_Why,"I sort of struggled with the decrypting others robots, mainly because it was really hard to crack the code"
142,3,tried_ but_couldnot_what_Why,I tried to write some preliminary decryption code yesterday. It didn't work but probably just because I wasn't exactly sure how to do what I wanted.
143,3,tried_ but_couldnot_what_Why,"knowing what blocks to use to reach our goal. I understand what I need to do, but don't know what steps to take."
144,3,tried_ but_couldnot_what_Why,"Usually, it was because the robot and computer would not connect. I think this happened because the robots had to take time to connect to WiFi which may have taken more time then we originally thought."
145,3,tried_ but_couldnot_what_Why,netsblox overloaded with too much programming
146,3,tried_ but_couldnot_what_Why,"We attempted to make it so that the client rate we set did not interfere with our own commands, but were unsuccessful. We were almost there but the program crashed as we were finishing. (Any changes we made would immediately disappear.)"
147,3,tried_ but_couldnot_what_Why,Making attack codes were hard ever since encryption started. other than that we finished all that we wanted to do
148,3,tried_ but_couldnot_what_Why,Our robot did not like moving or cooperating with the program but it was usually because either one of our computers got disconnected from it or the robot wasnt connected to wifi.
149,3,tried_ but_couldnot_what_Why,"We entertained the idea of hacking on the last day, but it would be much too complicated for anything like it to work"
150,3,tried_ but_couldnot_what_Why,"Being able to get our root to go into a complete square, i'm not exactly sure why it didn't work but our ticks and performance form the robot didn't allow it to properly move. "
151,3,tried_ but_couldnot_what_Why, I couldn't do the decryption because I didn't know how to do it.
152,3,tried_ but_couldnot_what_Why,Hacking into other's robots. My group could not figure out which blocks we needed to use and in what order due our lack of knowledge of the function of most of the blocks.
153,3,tried_ but_couldnot_what_Why,"Hacking was one of things we tried in our project, but had trouble getting it to work. It was hard to know exactly what was wrong with the program. We were thinking it might of not worked because of the sequence that kept changing."
154,3,tried_ but_couldnot_what_Why,There were some basic errors in my coding that were easly fixed
155,3,tried_ but_couldnot_what_Why,"Usually, my group found ways to get around things we could not do, but if there was something, we would ask for help figuring it out, and for the most part, the instructors were very helpful. "
156,3,tried_ but_couldnot_what_Why,"Oh, My partner(s) and I had several examples where things did not go as planned and it could be due to a minor issue such as reloading the page or forgetting to include the number of the robot. "
157,4,favorite_part_camp,The races and learning about different hacking methods 
158,4,favorite_part_camp,"the food, making the game, and driving/coding for the robot"
159,4,favorite_part_camp,working on the security of the robot.
160,4,favorite_part_camp,controlling other bots
161,4,favorite_part_camp,the robots
162,4,favorite_part_camp,Making the program work to give commands to the robot that moved. 
163,4,favorite_part_camp,
164,4,favorite_part_camp,hacking peoples robots
165,4,favorite_part_camp,The hands on experience of being able to program an actual robot and see it work and fail instead of just a computer simulation was undoubtedly my favorite part.
166,4,favorite_part_camp,I really enjoyed working with the robots.
167,4,favorite_part_camp,On Thursday when we learned to encrypt and I had made a surefire brute force program.
168,4,favorite_part_camp,I enjoyed the competitions between groups and their robots.
169,4,favorite_part_camp,Creating Mouse Control
170,4,favorite_part_camp,Getting to learn overall how cyber security works.
171,4,favorite_part_camp,The robot tug of war was my favorite part of the camp.
172,4,favorite_part_camp,Food
173,4,favorite_part_camp,Races
174,4,favorite_part_camp,I loved taking the knowledge I gathered to build extra functions into my programs.
175,4,favorite_part_camp,the initial driving of robots
176,4,favorite_part_camp,The races were my favorite par
177,4,favorite_part_camp,working to hack opponents encryption
178,4,favorite_part_camp,All the interactive races
179,4,favorite_part_camp,"LUNCHTIME, I really liked the food you served! :)"
180,4,favorite_part_camp,"The competitions were fun. Also, the ability to interact with other groups and mess around with our robots to get to be able to do more things with them."
181,4,favorite_part_camp,The races
182,4,favorite_part_camp,My favorite part of camp was implementing the code we worked on in groups  to have some friendly competition with obstacle courses.
183,4,favorite_part_camp,learning how to hack other robots
184,4,favorite_part_camp,Getting to try the different commands and finally getting the program to do what we wanted to.
185,4,favorite_part_camp,"Working on the robots, i felt accomplished in our work. The food was great too. "
186,4,favorite_part_camp,making the minigame
187,4,favorite_part_camp,being able to run any program that we were interested in pursuing
188,4,favorite_part_camp,the first day mini-game as well as the competitions. 
189,4,favorite_part_camp,The multiple races with our robots.
190,4,favorite_part_camp,ROBOTS/driving the robots and programming the manual controls; racing.
191,4,favorite_part_camp,My favorite part of the camp was using NetsBlox to create games and weather apps and other interactive programs.
192,4,favorite_part_camp,playing with the the obstacle coarse
193,4,favorite_part_camp,"The day we did encryption, because I felt like I understood that topic more than I understood anything else. The food was pretty good. "
194,4,favorite_part_camp,"My absolute favorite part of the camp was all of the amount of hacking we did on  Wednesday, Thursday, and Friday. I enjoyed the hacking because I felt like our classroom had been transformed to a hacking and cyber security facility, where everyone was so involved at this top secrecy level. "
195,4,favorite_part_camp,"My favorite part was the fact that we could collaborate with our peers, as this allowed us to get much more done in less time."
196,5, least_favorite_part_camp ,The first day where we mostly sat at the front of the room
197,5, least_favorite_part_camp ,hacking
198,5, least_favorite_part_camp ,I don't know.
199,5, least_favorite_part_camp ,boxed lunch
200,5, least_favorite_part_camp ,nothing
201,5, least_favorite_part_camp ,1 week is to short
202,5, least_favorite_part_camp ,
203,5, least_favorite_part_camp ,not hacking peoples robots and the first day
204,5, least_favorite_part_camp ,Idk it was pretty good overall
205,5, least_favorite_part_camp ,
206,5, least_favorite_part_camp ,The lectures.
207,5, least_favorite_part_camp ,The first day was the hardest because we didn't do anything with the robots.
208,5, least_favorite_part_camp ,Was generally pretty good. More food (at least my weight in food) would be appreciated. At least 150 pounds of food per day.
209,5, least_favorite_part_camp ,"Just random hiccups in my code, or the random times the signal to the bot stopped working."
210,5, least_favorite_part_camp ,"The first day was only learning to program simple games, so it was boring."
211,5, least_favorite_part_camp ,Packaged pickles
212,5, least_favorite_part_camp ,
213,5, least_favorite_part_camp ,I would have liked to have been given more relevant information through presentations before programming.
214,5, least_favorite_part_camp ,encryption/decryption
215,5, least_favorite_part_camp ,N/A
216,5, least_favorite_part_camp ,failing to hack opponents encryption
217,5, least_favorite_part_camp ,Having to sit still most of the day
218,5, least_favorite_part_camp ,"nothing was really bad, everything was fun! if I had to pick, I would say leaving"
219,5, least_favorite_part_camp ,Probably the times I just stayed confused rather than asking questions. And some of our down time was too long for me to stay focused.
220,5, least_favorite_part_camp ,decryption because it's hard to understand what to do. 
221,5, least_favorite_part_camp ,My least favorite part was the first day where we just copied the program that was on the board.
222,5, least_favorite_part_camp ,decryption
223,5, least_favorite_part_camp ,"I liked the races, but they were stressful since we did not have many successful hacking scripts."
224,5, least_favorite_part_camp ,I enjoyed it all.
225,5, least_favorite_part_camp ,the third day
226,5, least_favorite_part_camp ,"day 2 felt very slow, but was not a bad experience"
227,5, least_favorite_part_camp ,Thursday 
228,5, least_favorite_part_camp ,Decryption
229,5, least_favorite_part_camp ,"Frustration with my lack of understanding even after I had asked for help, and that no effort was made to ensure everyone understood each task after it was posed. "
230,5, least_favorite_part_camp ,"My least favorite part was creating the autonomous program for our robot; we tried using the timing method, but it was inconsistent."
231,5, least_favorite_part_camp ,My commuter repeatedly crashing
232,5, least_favorite_part_camp ,"I did not enjoy the day we worked on protecting our code (Wednesday, I believe) because I could not, for the love of God, figure out what we were doing and got very frustrate with myself and my group. Also, anything to do with the self driving stuff was frustrating, because no matter what, our code never seemed to work. "
233,5, least_favorite_part_camp ,I really did enjoy the camp and I do not think there was any part of the camp that I did not enjoy. Thank you for such an amazing week! 
